; distance      size       R   G   B  A   texture
1  4.0          30.0        255  106  0 66 sun_2
2  3.0          40.0        255  106  0 66 sun_2
3  1.0          300.400001  255  93  0 40 sun_7
4  2.0          300.400001  255  93  0 40 sphere_2
5  1.25         60.0        255  106  0 66 sun_2
6  0.80000001   22.4       36  30  24 200 sphere
7  0.60000002   6.4000001  24  15  12 200 sphere
8  0.25         16.0       36  30  30 200 sphere
9  0.1          22.4       36  30  24 200 sphere
10 0.050000001  22.4       36  30  24 200 sphere
11 -0.029999999 4.8000002  18  18  18 200 sphere
12 -0.1         9.6000004  42  42  42 200 sphere
13 -0.30000001  8.0        18   6   6 200 sphere
14 -0.40000001  96.0       18  12   9 200 sun_1
15 -0.55000001  6.4000001  18  18  12 200 sphere
16 -0.75        22.4       42  24  18 200 sphere
17 -0.89999998  22.4       42  24  18 200 sphere
18 -1.0         17.6       42  13  18 200 sphere
19 -1.2         5.5999999  21  12  12 200 sphere
20 -1.35        220.4  42  42  24 200 sphere_2
21 -1.7         126.879997  21  15  15 200 sun_4
22 -2.0         126.879997        48  30  30 200 sun_5
23 -2.5         126.879997  21  15  12 200 sun_6
24 -3.0         96.879997       42  30  24 200 sphere
25 -6.0         86.879997  42  42  30 200 sphere
26 -9.0         22.4       42  30  36 200 sphere
; the last line must be null
27 0            0         255 255 255 255 null  100
